Регіон,Середній_бал_з_фізики_2019,Середній_бал_з_фізики_2020
Івано-Франківська область,139.31,139.62
Волинська область,140.14,140.91
Вінницька область,134.85,136.82
Дніпропетровська область,135.30,137.26
Донецька область,132.07,134.59
Житомирська область,130.97,134.26
Закарпатська область,130.17,133.65
Запорізька область,133.99,133.51
Київська область,135.94,135.87
Кіровоградська область,133.74,138.33
Луганська область,130.22,134.92
Львівська область,139.72,141.54
Миколаївська область,132.60,134.20
Одеська область,129.04,131.33
Полтавська область,134.04,138.43
Рівненська область,135.47,140.35
Сумська область,135.65,139.24
Тернопільська область,135.68,137.11
Харківська область,139.69,139.26
Херсонська область,136.29,140.65
Хмельницька область,135.40,139.13
Черкаська область,138.54,137.93
Чернівецька область,132.87,138.41
Чернігівська область,136.06,139.89
м.Київ,147.45,149.32
