Регіон,Середній_бал_з_фізики_2019,Середній_бал_з_фізики_2020
Вінницька область,134.94,138.24
Волинська область,137.00,154.67
Дніпропетровська область,134.14,134.65
Донецька область,127.83,128.74
Житомирська область,124.40,132.78
Закарпатська область,140.33,127.60
Запорізька область,148.50,122.20
Івано-Франківська область,146.60,151.42
Київська область,134.14,124.13
Кіровоградська область,133.56,146.00
Луганська область,123.40,145.33
Львівська область,142.22,135.54
м.Київ,150.70,152.87
Миколаївська область,127.56,126.40
Одеська область,118.53,126.18
Полтавська область,142.33,137.08
Рівненська область,130.09,134.29
Сумська область,139.64,133.40
Тернопільська область,127.00,127.00
Харківська область,143.73,139.45
Херсонська область,113.50,145.62
Хмельницька область,133.64,139.18
Черкаська область,136.57,131.14
Чернівецька область,156.50,121.67
Чернігівська область,119.33,143.29
